bairro;casos;latitude_cluster;longitude_cluster;idade_media;idade_minima;idade_maxima;casos_por_ano;valor_total_sus;ceps;fonte_localizacao;consulta_localizacao;resultado_osm
Jardim Santa Maria;3;-22.3793;-47.585139;49.0;39;58;"{""2021"": 1, ""2022"": 1, ""2023"": 1}";9285.45;13504712, 13504714, 13504727;OpenStreetMap/Photon;Rua 16, Jardim Santa Maria, Rio Claro, São Paulo, Brasil;Capela Santa Maria, Rua 15, Jardim Panorama, Rio Claro
Jardim São Paulo;7;-22.405803;-47.583585;48.0;39;65;"{""2021"": 3, ""2022"": 1, ""2023"": 1, ""2025"": 2}";17340.15;13503003, 13503007, 13503010, 13503021, 13503022, 13503050;OpenStreetMap/Photon;Jardim São Paulo, Rio Claro, São Paulo, Brasil;Reservatório Jardim São Paulo, Avenida Castelo Branco, Chácara Bom Retiro, Rio Claro
Jardim Terras de Ajapi (Ajapi);1;;;55.0;55;55;"{""2021"": 1}";1539.42;13508638;Sem resultado — revisão necessária;Rua 6A JTA, Jardim Terras de Ajapi (Ajapi), Rio Claro, São Paulo, Brasil;
Jardim Vilage;4;-22.375229;-47.553697;45.0;30;61;"{""2021"": 1, ""2023"": 2, ""2024"": 1}";6533.79;13506095, 13506104, 13506110;OpenStreetMap/Photon;Avenida 80 A, Jardim Vilage, Rio Claro, São Paulo, Brasil;Condomínio Jardim Village, Avenida 80 A, Jardim Vilage, Rio Claro
Jardim Wenzel;1;-22.389035;-47.586693;64.0;64;64;"{""2022"": 1}";2595.43;13504300;OpenStreetMap/Photon;Jardim Wenzel, Rio Claro, São Paulo, Brasil;Jardim Wenzel, Jardim Panorama, Rio Claro
Loteamento Fontes e Bosques Alam Grei;1;;;74.0;74;74;"{""2025"": 1}";410.49;13507792;Sem resultado — revisão necessária;Caminho 2, Loteamento Fontes e Bosques Alam Grei, Rio Claro, São Paulo, Brasil;
Loteamento Sebastião dos Santos Lima;1;-22.419528;-47.592795;45.0;45;45;"{""2024"": 1}";2748.31;13503587;OpenStreetMap/Photon;Loteamento Sebastião dos Santos Lima, Rio Claro, São Paulo, Brasil;Loteamento Sebastião dos Santos Lima, Jardim Centenário, Rio Claro
Nova Ajapi (Ajapi);1;;;67.0;67;67;"{""2022"": 1}";367.44;13508524;Sem resultado — revisão necessária;Avenida 5 Ajapi, Nova Ajapi (Ajapi), Rio Claro, São Paulo, Brasil;
Novo Jardim Wenzel;6;-22.404386;-47.602672;54.0;36;75;"{""2021"": 1, ""2022"": 1, ""2023"": 2, ""2025"": 2}";16494.31;13503656, 13503658, 13503661, 13503665;OpenStreetMap/Photon;Novo Jardim Wenzel, Rio Claro, São Paulo, Brasil;Novo Jardim Wenzel, Jardim Residencial Santa Eliza, Rio Claro
Parque das Indústrias;6;;;60.0;45;78;"{""2022"": 3, ""2025"": 3}";8129.06;13505120, 13505373, 13505380;Sem resultado — revisão necessária;Rua M 8, Parque das Indústrias, Rio Claro, São Paulo, Brasil;
Parque Mãe Preta;16;-22.374261;-47.54188;55.8;42;69;"{""2021"": 3, ""2022"": 1, ""2023"": 7, ""2024"": 1, ""2025"": 4}";49808.61;13506160, 13506170, 13506176, 13506178, 13506179, 13506180, 13506181, 13506188, 13506192, 13506194;OpenStreetMap/Photon;Avenida 1 MP, Parque Mãe Preta, Rio Claro, São Paulo, Brasil;Avenida 1 MP, Parque Mãe Preta, Rio Claro
Parque Residencial Brasília;4;-22.433514;-47.580529;60.5;51;67;"{""2023"": 2, ""2024"": 1, ""2025"": 1}";12522.81;13502290, 13502291, 13502292, 13502295;OpenStreetMap/Photon;Parque Residencial Brasília, Rio Claro, São Paulo, Brasil;Parque Residencial Brasília, Jardim Nova Rio Claro, Rio Claro
Parque Universitário;7;-22.393264;-47.579142;54.3;47;64;"{""2021"": 4, ""2022"": 1, ""2024"": 1, ""2025"": 1}";14181.15;13504361, 13504363, 13504400, 13504450;OpenStreetMap/Photon;Rua 17, Parque Universitário, Rio Claro, São Paulo, Brasil;Praça do Parque Universitário, Jardim  Bela Vista, Rio Claro
Recanto das Pedras (Assistência);3;-22.429726;-47.582287;55.0;47;60;"{""2021"": 1, ""2023"": 1, ""2025"": 1}";7697.21;13509656, 13509670, 13509676;OpenStreetMap/Photon;Recanto das Pedras (Assistência), Rio Claro, São Paulo, Brasil;Cellshop Assistência Técnica, Avenida 7 JP, Jardim das Palmeiras, Rio Claro
Residencial Bosques de Rio Claro;3;-22.381236;-47.580161;49.0;34;57;"{""2022"": 2, ""2023"": 1}";6696.1;13505577, 13505584;OpenStreetMap/Photon;Rua 8 BRC, Residencial Bosques de Rio Claro, Rio Claro, São Paulo, Brasil;Rua 8 BRC, Jardim Panorama, Rio Claro
Residencial das Flores;3;-22.367138;-47.563139;63.3;62;64;"{""2022"": 1, ""2023"": 2}";8689.01;13505494, 13505511;OpenStreetMap/Photon;Avenida M 51, Residencial das Flores, Rio Claro, São Paulo, Brasil;CONDOMINIO VILLA DAS FLORES RESIDENCIAL, AVENIDA 3A VS, VILAS DO SOBRADO, Rio Claro
Santana;6;-22.400505;-47.573666;65.7;52;76;"{""2021"": 1, ""2022"": 3, ""2023"": 1, ""2025"": 1}";12487.11;13500570, 13500576, 13504097;OpenStreetMap/Photon;Rua Samambaia, Santana, Rio Claro, São Paulo, Brasil;Rua Samambaia, Santana, Rio Claro
Saúde;2;-22.415182;-47.550615;62.5;50;75;"{""2021"": 1, ""2025"": 1}";6486.92;13500320, 13500340;OpenStreetMap/Photon;Avenida 17, Saúde, Rio Claro, São Paulo, Brasil;Avenida P 17, Saúde, Rio Claro
Vila Alemã;16;-22.39597;-47.556396;56.9;43;76;"{""2021"": 1, ""2022"": 1, ""2023"": 5, ""2024"": 4, ""2025"": 5}";42410.11;13506561, 13506569, 13506590, 13506620, 13506660, 13506661, 13506662, 13506664, 13506666, 13506680, 13506685, 13506690;OpenStreetMap/Photon;Vila Alemã, Rio Claro, São Paulo, Brasil;Vila Alemã, Bela Vista, Rio Claro
Vila Aparecida;7;-22.398077;-47.562704;56.0;34;73;"{""2021"": 2, ""2022"": 1, ""2023"": 1, ""2024"": 2, ""2025"": 1}";14385.9;13500511, 13500540, 13500550;OpenStreetMap/Photon;Vila Aparecida, Rio Claro, São Paulo, Brasil;Vila Aparecida, Santana, Rio Claro
Vila Bela Vista;1;-22.396931;-47.549861;68.0;68;68;"{""2021"": 1}";2554.65;13506749;OpenStreetMap/Photon;Rua 14 B, Vila Bela Vista, Rio Claro, São Paulo, Brasil;Rua Onze B, Bela Vista, Rio Claro
Vila Cristina;5;-22.384317;-47.550393;53.4;33;68;"{""2022"": 1, ""2023"": 3, ""2025"": 1}";11417.86;13506460, 13506480, 13506494;OpenStreetMap/Photon;Vila Cristina, Rio Claro, São Paulo, Brasil;Vila Cristina, Bela Vista, Rio Claro
Vila di Napoli (Ajapi);1;;;67.0;67;67;"{""2021"": 1}";407.44;13508534;Sem resultado — revisão necessária;Avenida 15 Ajapi, Vila di Napoli (Ajapi), Rio Claro, São Paulo, Brasil;
Vila do Rádio;1;-22.413257;-47.568414;70.0;70;70;"{""2024"": 1}";2840.11;13500260;OpenStreetMap/Photon;Rua 13, Vila do Rádio, Rio Claro, São Paulo, Brasil;Travessa do Radio, Dona Angela, Rio Claro
Vila Indaiá;7;;;57.7;41;79;"{""2021"": 1, ""2022"": 2, ""2023"": 1, ""2025"": 3}";14101.87;13506705, 13506715, 13506720, 13506738, 13506746;Sem resultado — revisão necessária;Avenida 22 A, Vila Indaiá, Rio Claro, São Paulo, Brasil;
Vila Martins;1;-22.387728;-47.558985;58.0;58;58;"{""2024"": 1}";3580.45;13505145;OpenStreetMap/Photon;Vila Martins, Rio Claro, São Paulo, Brasil;Vila Martins, Bela Vista, Rio Claro
Vila Nova;9;-22.410967;-47.55888;58.7;40;84;"{""2021"": 2, ""2022"": 1, ""2023"": 1, ""2024"": 2, ""2025"": 3}";21115.53;13506550, 13506555, 13506556, 13506557;OpenStreetMap/Photon;Rua 9 A, Vila Nova, Rio Claro, São Paulo, Brasil;Grupo Ginástico Rio Clarense, Rua 2, Centro, Rio Claro
Vila Operária;2;-22.387629;-47.569672;68.5;64;73;"{""2021"": 1, ""2025"": 1}";5345.98;13504092, 13504120;OpenStreetMap/Photon;Rua 4, Vila Operária, Rio Claro, São Paulo, Brasil;Rua 4, Vila Operária, Rio Claro
Vila Paulista;10;-22.395757;-47.544136;67.2;43;89;"{""2021"": 3, ""2022"": 3, ""2023"": 2, ""2024"": 1, ""2025"": 1}";21304.77;13506825, 13506826, 13506828, 13506833, 13506836, 13506850;OpenStreetMap/Photon;Avenida P 13, Vila Paulista, Rio Claro, São Paulo, Brasil;Universidade Estadual Paulista, Avenida Vinte e Quatro A, Bela Vista, Rio Claro
Vila Saibreiro;3;-22.389419;-47.562255;53.3;43;74;"{""2021"": 1, ""2022"": 2}";3531.83;13504000, 13504011;OpenStreetMap/Photon;Rua Saibreiro 1, Vila Saibreiro, Rio Claro, São Paulo, Brasil;Rua Saibreiro Três, Santana, Rio Claro
Vila São Miguel;3;-22.386417;-47.542546;68.3;60;78;"{""2021"": 1, ""2022"": 1, ""2024"": 1}";6548.68;13506403, 13506430, 13506450;OpenStreetMap/Photon;Vila São Miguel, Rio Claro, São Paulo, Brasil;Ecoponto São Miguel, Avenida Ulysses Guimarães, Vila Paulista, Rio Claro
Zona Central;9;-22.413163;-47.559733;59.8;39;82;"{""2021"": 3, ""2022"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 3}";26360.65;13500143, 13500190, 13500210;OpenStreetMap/Photon;Rua 7, Zona Central, Rio Claro, São Paulo, Brasil;Rua 4, Zona Central, Rio Claro
